  tic; main; toc           % runs, computes, saves DataFile.mat, prints tables
Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 18 workers.
6.000000e-01: Error is 9.837067e+03 with 800 iterations
2.000000e-01: Error is 1.235574e+04 with 800 iterations
7.000000e-01: Error is 9.889425e+03 with 800 iterations
3.000000e-01: Error is 9.735282e+03 with 800 iterations
8.000000e-01: Error is 9.926863e+03 with 800 iterations
-4.000000e-01: Error is 9.590365e+03 with 800 iterations
4.000000e-01: Error is 9.766497e+03 with 800 iterations
-8.000000e-01: Error is 2.201462e+04 with 80 iterations
-9.000000e-01: Error is 2.197278e+04 with 80 iterations
-6.000000e-01: Error is 2.016536e+04 with 100 iterations
-5.001000e-01: Error is 1.172019e+05 with 100 iterations
-3.000000e-01: Error is 1.227078e+04 with 800 iterations
5.001000e-01: Error is 9.799660e+03 with 800 iterations
-1.000000e-01: Error is 1.252818e+04 with 1000 iterations
1.000000e-01: Error is 1.008183e+04 with 1000 iterations
9.000000e-01: Error is 8.320368e+03 with 1000 iterations
-2.000000e-01: Error is 1.011325e+04 with 1000 iterations
2.000000e-01: Error is 1.007460e+04 with 1000 iterations
6.000000e-01: Error is 8.286327e+03 with 1000 iterations
7.000000e-01: Error is 8.302317e+03 with 1000 iterations
3.000000e-01: Error is 8.263686e+03 with 1000 iterations
8.000000e-01: Error is 8.302303e+03 with 1000 iterations
-7.000000e-01: Error is 2.207046e+04 with 80 iterations
-4.000000e-01: Error is 8.222897e+03 with 1000 iterations
4.000000e-01: Error is 8.271846e+03 with 1000 iterations
-8.000000e-01: Error is 2.002601e+04 with 100 iterations
-9.000000e-01: Error is 1.999009e+04 with 100 iterations
-5.001000e-01: Error is 1.133676e+05 with 125 iterations
-3.000000e-01: Error is 1.011448e+04 with 1000 iterations
-6.000000e-01: Error is 1.834097e+04 with 125 iterations
5.001000e-01: Error is 8.279679e+03 with 1000 iterations
-1.000000e-01: Error is 9.433518e+03 with 1250 iterations
1.000000e-01: Error is 8.116595e+03 with 1250 iterations
9.000000e-01: Error is 6.790726e+03 with 1250 iterations
-7.000000e-01: Error is 2.007538e+04 with 100 iterations
-2.000000e-01: Error is 8.210926e+03 with 1250 iterations
6.000000e-01: Error is 6.866755e+03 with 1250 iterations
2.000000e-01: Error is 8.080072e+03 with 1250 iterations
3.000000e-01: Error is 6.917524e+03 with 1250 iterations
7.000000e-01: Error is 6.850169e+03 with 1250 iterations
8.000000e-01: Error is 6.814909e+03 with 1250 iterations
-4.000000e-01: Error is 6.972763e+03 with 1250 iterations
4.000000e-01: Error is 6.903680e+03 with 1250 iterations
-8.000000e-01: Error is 1.821457e+04 with 125 iterations
-9.000000e-01: Error is 1.818366e+04 with 125 iterations
5.001000e-01: Error is 6.886392e+03 with 1250 iterations
-3.000000e-01: Error is 8.229897e+03 with 1250 iterations
-5.001000e-01: Error is 1.089823e+05 with 160 iterations
-6.000000e-01: Error is 1.650731e+04 with 160 iterations
-7.000000e-01: Error is 1.825815e+04 with 125 iterations
-8.000000e-01: Error is 1.639346e+04 with 160 iterations
-9.000000e-01: Error is 1.636753e+04 with 160 iterations
-6.000000e-01: Error is 1.499697e+04 with 200 iterations
-5.001000e-01: Error is 1.048358e+05 with 200 iterations
-7.000000e-01: Error is 1.643180e+04 with 160 iterations
1.000000e-01: Error is 4.717021e+03 with 2000 iterations
